date,fips,cases
2021-11-30,1001,10526
2021-11-30,1003,38104
2021-11-30,1005,3699
2021-11-30,1007,4345
2021-11-30,1009,10729
2021-11-30,1011,1525
2021-11-30,1013,3439
2021-11-30,1015,22598
2021-11-30,1017,5785
2021-11-30,1019,3183
2021-11-30,1021,7042
2021-11-30,1023,932
2021-11-30,1025,4848
2021-11-30,1027,2511
2021-11-30,1029,2545
2021-11-30,1031,9425
2021-11-30,1033,9341
2021-11-30,1035,1931
2021-11-30,1037,1855
2021-11-30,1039,6943
2021-11-30,1041,2607
2021-11-30,1043,16067
2021-11-30,1045,9024
2021-11-30,1047,5295
2021-11-30,1049,12985
2021-11-30,1051,15912
2021-11-30,1053,6956
2021-11-30,1055,20026
2021-11-30,1057,3300
2021-11-30,1059,6338
2021-11-30,1061,4643
2021-11-30,1063,1302
2021-11-30,1065,3184
2021-11-30,1067,3207
2021-11-30,1069,17741
2021-11-30,1071,10170
2021-11-30,1073,116186
2021-11-30,1075,2519
2021-11-30,1077,14991
2021-11-30,1079,4831
2021-11-30,1081,25590
2021-11-30,1083,16153
2021-11-30,1085,1782
2021-11-30,1087,2450
2021-11-30,1089,53315
2021-11-30,1091,3423
2021-11-30,1093,5413
2021-11-30,1095,18790
2021-11-30,1097,74241
2021-11-30,1099,3374
2021-11-30,1101,34492
2021-11-30,1103,22459
2021-11-30,1105,1418
2021-11-30,1107,3339
2021-11-30,1109,5123
2021-11-30,1111,3348
2021-11-30,1113,7088
2021-11-30,1117,38351
2021-11-30,1115,16904
2021-11-30,1119,1392
2021-11-30,1121,14209
2021-11-30,1123,7273
2021-11-30,1125,36052
2021-11-30,1127,12067
2021-11-30,1129,2569
2021-11-30,1131,1776
2021-11-30,1133,4780
2021-11-30,2013,449
2021-11-30,2016,943
2021-11-30,2020,60942
2021-11-30,2050,6774
2021-11-30,2068,288
2021-11-30,2070,950
2021-11-30,2090,17004
2021-11-30,2100,233
2021-11-30,2110,4121
2021-11-30,2122,11806
2021-11-30,2130,2055
2021-11-30,2150,2674
2021-11-30,2158,2228
2021-11-30,2170,24183
2021-11-30,2180,2194
2021-11-30,2185,2882
2021-11-30,2188,2259
2021-11-30,2195,504
2021-11-30,2198,582
2021-11-30,2220,1216
2021-11-30,2230,85
2021-11-30,2240,1376
2021-11-30,2261,1890
2021-11-30,2275,217
2021-11-30,2290,799
2021-11-30,4001,15290
2021-11-30,4003,18062
2021-11-30,4005,25351
2021-11-30,4007,11088
2021-11-30,4009,8501
2021-11-30,4011,1369
2021-11-30,4012,3396
2021-11-30,4013,800696
2021-11-30,4015,36025
2021-11-30,4017,24534
2021-11-30,4019,159621
2021-11-30,4021,80703
2021-11-30,4023,9858
2021-11-30,4025,32544
2021-11-30,4027,42742
2021-11-30,5001,3539
2021-11-30,5003,3225
2021-11-30,5005,6143
2021-11-30,5007,43913
2021-11-30,5009,6466
2021-11-30,5011,2018
2021-11-30,5013,605
2021-11-30,5015,4409
2021-11-30,5017,2035
2021-11-30,5019,3370
