date,fips,deaths
2021-11-30,1001,157
2021-11-30,1003,589
2021-11-30,1005,80
2021-11-30,1007,94
2021-11-30,1009,192
2021-11-30,1011,45
2021-11-30,1013,100
2021-11-30,1015,518
2021-11-30,1017,142
2021-11-30,1019,63
2021-11-30,1021,170
2021-11-30,1023,28
2021-11-30,1025,86
2021-11-30,1027,69
2021-11-30,1029,60
2021-11-30,1031,192
2021-11-30,1033,208
2021-11-30,1035,62
2021-11-30,1037,47
2021-11-30,1039,195
2021-11-30,1041,77
2021-11-30,1043,303
2021-11-30,1045,192
2021-11-30,1047,209
2021-11-30,1049,269
2021-11-30,1051,294
2021-11-30,1053,143
2021-11-30,1055,518
2021-11-30,1057,85
2021-11-30,1059,108
2021-11-30,1061,136
2021-11-30,1063,45
2021-11-30,1065,89
2021-11-30,1067,66
2021-11-30,1069,425
2021-11-30,1071,194
2021-11-30,1073,2004
2021-11-30,1075,53
2021-11-30,1077,306
2021-11-30,1079,129
2021-11-30,1081,263
2021-11-30,1083,219
2021-11-30,1085,68
2021-11-30,1087,64
2021-11-30,1089,732
2021-11-30,1091,93
2021-11-30,1093,130
2021-11-30,1095,316
2021-11-30,1097,1381
2021-11-30,1099,66
2021-11-30,1101,781
2021-11-30,1103,406
2021-11-30,1105,40
2021-11-30,1107,88
2021-11-30,1109,109
2021-11-30,1111,67
2021-11-30,1113,65
2021-11-30,1117,369
2021-11-30,1115,358
2021-11-30,1119,41
2021-11-30,1121,299
2021-11-30,1123,201
2021-11-30,1125,641
2021-11-30,1127,380
2021-11-30,1129,52
2021-11-30,1131,38
2021-11-30,1133,110
2021-11-30,2013,3
2021-11-30,2016,1
2021-11-30,2020,392
2021-11-30,2050,27
2021-11-30,2068,1
2021-11-30,2070,8
2021-11-30,2090,107
2021-11-30,2100,1
2021-11-30,2110,12
2021-11-30,2122,65
2021-11-30,2130,11
2021-11-30,2150,9
2021-11-30,2158,9
2021-11-30,2170,144
2021-11-30,2180,2
2021-11-30,2185,8
2021-11-30,2188,9
2021-11-30,2195,2
2021-11-30,2198,6
2021-11-30,2220,4
2021-11-30,2230,0
2021-11-30,2240,12
2021-11-30,2261,9
2021-11-30,2275,1
2021-11-30,2290,8
2021-11-30,4001,511
2021-11-30,4003,389
2021-11-30,4005,384
2021-11-30,4007,278
2021-11-30,4009,132
2021-11-30,4011,22
2021-11-30,4012,102
2021-11-30,4013,12782
2021-11-30,4015,1046
2021-11-30,4017,677
2021-11-30,4019,2899
2021-11-30,4021,1171
2021-11-30,4023,196
2021-11-30,4025,791
2021-11-30,4027,927
2021-11-30,5001,60
2021-11-30,5003,49
2021-11-30,5005,188
2021-11-30,5007,630
2021-11-30,5009,131
2021-11-30,5011,41
2021-11-30,5013,8
2021-11-30,5015,75
2021-11-30,5017,47
2021-11-30,5019,61
2021-11-30,5021,74
2021-11-30,5023,95
2021-11-30,5025,33
2021-11-30,5027,75
2021-11-30,5029,46
2021-11-30,5031,249
2021-11-30,5033,179
2021-11-30,5035,180
2021-11-30,5037,67
2021-11-30,5039,19
2021-11-30,5041,33
2021-11-30,5043,55
2021-11-30,5045,227
2021-11-30,5047,55
2021-11-30,5049,67
2021-11-30,5051,399
2021-11-30,5053,50
2021-11-30,5055,125
2021-11-30,5057,41
2021-11-30,5059,109
2021-11-30,5061,39
2021-11-30,5063,161
2021-11-30,5065,55
2021-11-30,5067,46
2021-11-30,5069,228
2021-11-30,5071,58
2021-11-30,5073,28
2021-11-30,5075,62
2021-11-30,5077,52
2021-11-30,5079,57
2021-11-30,5081,81
2021-11-30,5083,52
2021-11-30,5085,176
2021-11-30,5087,40
2021-11-30,5089,62
2021-11-30,5091,144
2021-11-30,5093,150
2021-11-30,5095,25
2021-11-30,5097,46
2021-11-30,5099,40
2021-11-30,5101,39
2021-11-30,5103,86
2021-11-30,5105,22
2021-11-30,5107,78
2021-11-30,5109,37
2021-11-30,5111,102
2021-11-30,5113,112
2021-11-30,5115,158
2021-11-30,5117,29
2021-11-30,5119,936
2021-11-30,5121,64
2021-11-30,5125,246
2021-11-30,5127,31
2021-11-30,5129,25
2021-11-30,5131,394
2021-11-30,5133,61
2021-11-30,5135,70
2021-11-30,5123,69
2021-11-30,5137,45
2021-11-30,5139,143
2021-11-30,5141,44
2021-11-30,5143,495
2021-11-30,5145,206
2021-11-30,5147,24
2021-11-30,5149,81
2021-11-30,6001,1504
2021-11-30,6003,0
2021-11-30,6005,66
2021-11-30,6007,314
2021-11-30,6009,88
2021-11-30,6011,20
2021-11-30,6013,1046
2021-11-30,6015,42
2021-11-30,6017,166
2021-11-30,6019,2254
2021-11-30,6021,51
2021-11-30,6023,119
2021-11-30,6025,772
2021-11-30,6027,46
2021-11-30,6029,1804
2021-11-30,6031,365
