id,name,population
1,Alabama,4934193
2,Alaska,724357
4,Arizona,7520103
5,Arkansas,3033946
6,California,39613493
8,Colorado,5893634
9,Connecticut,3552821
10,Delaware,990334
11,District of Columbia,714153
12,Florida,21944577
13,Georgia,10830007
15,Hawaii,1406430
16,Idaho,1860123
17,Illinois,12569321
18,Indiana,6805663
19,Iowa,3167974
20,Kansas,2917224
21,Kentucky,4480713
22,Louisiana,4627002
23,Maine,1354522
24,Maryland,6065436
25,Massachusetts,6912239
26,Michigan,9992427
27,Minnesota,5706398
28,Mississippi,2966407
29,Missouri,6169038
30,Montana,1085004
31,Nebraska,1951996
32,Nevada,3185786
33,New Hampshire,1372203
34,New Jersey,8874520
35,New Mexico,2105005
36,New York,19299981
37,North Carolina,10701022
38,North Dakota,770026
39,Ohio,11714618
40,Oklahoma,3990443
41,Oregon,4289439
42,Pennsylvania,12804123
44,Rhode Island,1061509
45,South Carolina,5277830
46,South Dakota,896581
47,Tennessee,6944260
48,Texas,29730311
49,Utah,3310774
50,Vermont,623251
51,Virginia,8603985
53,Washington,7796941
54,West Virginia,1767859
55,Wisconsin,5852490
56,Wyoming,581075
