Date,fips,vaccine
11-30-2021,1131,5041
11-30-2021,36101,52188
11-30-2021,18041,8455
11-30-2021,17151,1300
11-30-2021,18033,17311
11-30-2021,37021,157876
11-30-2021,36065,130792
11-30-2021,27109,109203
11-30-2021,5099,3309
11-30-2021,21031,5353
11-30-2021,17095,27051
11-30-2021,13079,2402
11-30-2021,51059,812247
11-30-2021,37121,6806
11-30-2021,21143,4528
11-30-2021,42103,28287
11-30-2021,48031,5865
11-30-2021,42101,941621
11-30-2021,39089,89241
11-30-2021,48257,63733
11-30-2021,37133,108347
11-30-2021,21199,27460
11-30-2021,51580,1871
11-30-2021,48397,55729
11-30-2021,42001,49635
11-30-2021,28123,12929
11-30-2021,37083,24288
11-30-2021,54107,33518
11-30-2021,45051,186244
11-30-2021,46073,960
11-30-2021,6003,0
11-30-2021,19023,7797
11-30-2021,27139,93310
11-30-2021,13087,10507
11-30-2021,48327,1063
11-30-2021,30099,2369
11-30-2021,20079,14639
11-30-2021,26019,11269
11-30-2021,39003,40648
11-30-2021,18081,85400
11-30-2021,53033,1646817
11-30-2021,16009,4195
11-30-2021,6069,36314
11-30-2021,12117,268750
11-30-2021,5067,5930
11-30-2021,12085,96053
11-30-2021,24013,113101
11-30-2021,36001,208535
11-30-2021,40077,3183
11-30-2021,54047,4141
11-30-2021,47087,3727
11-30-2021,31009,114
11-30-2021,48117,7260
11-30-2021,19103,99804
11-30-2021,17051,7057
11-30-2021,17073,26885
11-30-2021,21089,16911
11-30-2021,21005,11550
11-30-2021,13191,5233
11-30-2021,55139,96327
11-30-2021,27041,20152
11-30-2021,22087,21047
11-30-2021,53057,79551
11-30-2021,40127,3681
11-30-2021,55029,20127
11-30-2021,18027,10365
11-30-2021,40055,1933
11-30-2021,21221,6431
11-30-2021,31185,6667
11-30-2021,19143,2542
11-30-2021,46081,13310
11-30-2021,21015,74618
11-30-2021,16005,38192
11-30-2021,26083,1179
11-30-2021,15009,0
11-30-2021,8091,2997
11-30-2021,17161,78939
11-30-2021,29021,30736
11-30-2021,25005,334731
11-30-2021,36041,3506
11-30-2021,48251,73616
11-30-2021,40035,6906
11-30-2021,26095,2616
11-30-2021,48225,8859
11-30-2021,45083,129206
11-30-2021,21051,8118
11-30-2021,46123,2287
11-30-2021,20205,3413
11-30-2021,40089,10818
11-30-2021,51101,8337
11-30-2021,13257,3879
11-30-2021,34003,652903
11-30-2021,48135,64945
11-30-2021,6101,51991
11-30-2021,49017,2614
11-30-2021,6115,36392
11-30-2021,29105,12282
11-30-2021,12061,100305
11-30-2021,21109,4448
11-30-2021,19057,18514
11-30-2021,18067,36431
11-30-2021,27135,7307
11-30-2021,29186,7564
11-30-2021,18045,7059
